Menu,Energy (kcal),Protein (g),Fat (g),Carbohydrates (g),Sodium (mg),Portion Size (g)
sup kacang hijau  belu,28.919,1.9,0.1,5.2,1,100
sup kacang merah  belu,32.026,2.2,0.1,5.7,1,100
susu bebelac,499.988,10.8,24.5,60.8,160,100
susu bendera 123,463.899,21.6,19,51.6,320,100
susu chilmil,445.018,16.2,14.3,63.7,240,100
susu dancow,463.899,21.6,19,51.6,320,100
susu dancow balita,463.899,21.6,19,51.6,320,100
susu dancow coklat,433.068,13,11.4,70.9,192,100
susu dancow instant,463.899,21.6,19,51.6,320,100
susu dancow made up(belu),38.957,1.3,1.1,6.1,19,100
susu enfamil,463.899,21.6,19,51.6,320,100
susu envapro,463.899,21.6,19,51.6,320,100
susu kental manis made up belu,331.015,8,9.8,55,138,100
susu lactogen,463.899,21.6,19,51.6,320,100
susu lactogen 1,499.988,10.8,24.5,60.8,160,100
susu lactogen 2,463.899,21.6,19,51.6,320,100
susu lactogen made up (belu),38.957,1.3,1.1,6.1,19,100
susu llm,499.988,10.8,24.5,60.8,160,100
susu morinaga,499.988,10.8,24.5,60.8,160,100
susu nutrilon,499.988,10.8,24.5,60.8,160,100
susu nutrima,463.899,21.6,19,51.6,320,100
susu promil,461.987,22.9,18.1,53.8,378,100
susu s26,499.988,10.8,24.5,60.8,160,100
susu sgm 1,499.988,10.8,24.5,60.8,160,100
susu sgm 2,463.899,21.6,19,51.6,320,100
susu sgm dry powder,463.899,21.6,19,51.6,320,100
susu sustagen,463.899,21.6,19,51.6,320,100
susu sustagen yunior,364.953,20.4,1.2,69.4,312,100
susu vitalac 1,499.988,10.8,24.5,60.8,160,100
susu vitalac 2,463.899,21.6,19,51.6,320,100
Puree wortel,47.8,2,0.2,48,45,100
Puree kentang,66.92,2,0.2,60,5,100
Puree labu kuning,50.19,1.5,0.1,46,15,100
Puree ubi jalar,59.75,2,0.1,58,10,100
Puree alpukat,71.7,3,15,15,5,100
Puree pisang,78.87,1,1,23,10,100
Bubur kacang hijau,59.75,4,0.5,40,25,100
Bubur beras merah,54.97,5,1,30,20,100
Puree brokoli,52.58,2,0.3,40,15,100
Bubur oatmeal,57.36,3,2,55,5,100
Bubur kacang merah,62.14,4,2.5,50,20,100
Bubur ayam dan labu,64.53,6,3,45,30,100
Nasi tim ayam,69.31,5,5,55,25,100
Nasi tim daging sapi,74.09,7,8,70,20,100
Nasi tim ikan,76.48,8,6,65,30,100
Sup sayuran,71.7,6,3,60,10,100
Bola-bola nasi dengan sayuran,74.09,7,4,62,15,100
Omelet sayur,71.7,8,2,50,20,100
Sup ayam dan kentang,62.14,4,1,30,15,100
Bubur sereal,54.97,3,0.5,40,10,100
