Menu,Energy (kcal),Protein (g),Fat (g),Carbohydrates (g),Sodium (mg),Portion Size (g)
curing / kenikir,20.076,1.1,0.2,4.4,29,100
daun bawang,21.032,1.2,0.7,5,6,100
daun bawang merah,21.032,1.2,0.7,5,6,100
daun beluntas mentah,20.076,1.1,0.2,4.4,29,100
daun gambas mentah,37.045,3.7,0.2,7.3,11,100
daun jambu mete muda,37.045,3.7,0.2,7.3,11,100
daun kacang panjang,37.045,3.7,0.2,7.3,11,100
daun katuk mentah,59.989,5.3,0.9,11.2,9,100
daun kecipir mentah,15.057,2.3,0.2,2.1,16,100
daun kelor mentah,59.989,5.3,0.9,11.2,9,100
daun kemangi mentah,21.032,1.2,0.7,5,6,100
daun koro,15.057,2.3,0.2,2.1,16,100
daun labu siam mentah,15.057,2.3,0.2,2.1,16,100
daun labu waluh mentah,15.057,2.3,0.2,2.1,16,100
daun lompong,37.045,3.7,0.2,7.3,11,100
daun mangkokan mentah,15.057,2.3,0.2,2.1,16,100
daun melinjo mentah,37.045,3.7,0.2,7.3,11,100
daun pepaya,59.989,5.3,0.9,11.2,9,100
daun singgrang,20.076,1.1,0.2,4.4,29,100
daun singkong mentah,37.045,3.7,0.2,7.3,11,100
daun tales,37.045,3.7,0.2,7.3,11,100
daun tlepok,15.057,2.3,0.2,2.1,16,100
daun ubi jalar,15.057,2.3,0.2,2.1,16,100
gambas / oyong mentah,20.076,0.9,0.3,4.3,1,100
genjer / bengok,21.032,1.2,0.7,5,6,100
gundho,15.057,2.3,0.2,2.1,16,100
jamur coklat mentah,27.007,2.2,0.5,5.1,2,100
jamur kuping segar,27.007,2.2,0.5,5.1,2,100
jamur putih mentah,27.007,2.2,0.5,5.1,2,100
jamur so,27.007,2.2,0.5,5.1,2,100
jantung pisang segar,21.032,1.2,0.7,5,6,100
kangkung,15.057,2.3,0.2,2.1,16,100
kangkung mentah,15.057,2.3,0.2,2.1,16,100
kembang kool mentah,25.095,1.4,0.3,5.4,18,100
kembang turi mentah,21.032,1.2,0.7,5,6,100
ketimun mentah,12.906,0.7,0.1,2.8,2,100
kool merah / putih mentah,21.988,1,0.4,4.5,8,100
krai / mentimun,12.906,0.7,0.1,2.8,2,100
kuah daging ayam belu,74.09,7,4.9,0,19,100
kuah oseng bayam belu,21.032,0.5,2,0.5,4,100
kuah sayur kangkung belu,5.019,0.8,0.1,0.7,5,100
kuah sayur sawi belu,6.931,0.8,0.1,1.1,6,100
labu air mentah,20.076,0.9,0.3,4.3,1,100
labu kuning,38.957,0.9,0.6,8.8,1,100
labu siam mentah,20.076,0.9,0.3,4.3,1,100
lobak mentah,12.906,0.7,0.1,2.8,2,100
lompong pari mentah,15.057,2.3,0.2,2.1,16,100
loncang,21.032,1.2,0.7,5,6,100
pare pahit mentah,20.076,0.9,0.3,4.3,1,100
pare ulo mentah,20.076,0.9,0.3,4.3,1,100
pepes jamur,27.007,2.2,0.5,5.1,2,100
rebung mentah,12.906,1,0.2,2.1,9,100
rebus daun lettuce belu,293.014,6.7,2.9,62.1,30,100
rebus daun singkong belu,7.887,0.8,0,1.6,2,100
sambal tomat belu,61.901,1,4.9,4.9,8,100
sambal tomato and daging kuda belu,55.926,8,1.7,2.3,20,100
santan daun ubu /campur daun pepaya bel,28.919,1.6,1.4,3.5,5,100
sate kentang,92.971,2,0.1,21.6,5,100
sawi hijau,15.057,2.3,0.2,2.1,16,100
sawi putih mentah,15.057,2.3,0.2,2.1,16,100
sayur asem,48.995,1.8,2.7,5.7,5,100
sayur bayam,11.95,1.5,0.2,1.9,35,100
sayur bayam jagung,37.045,1.6,0.5,8.3,19,100
sayur bayam wortel,18.881,1,0.1,4.1,35,100
sayur bening campur,32.982,1.2,0.3,7.5,24,100
sayur buah kelor,25.095,0.3,0.2,6.3,2,100
sayur caisin,10.994,0.5,0.2,2.3,4,100
sayur cokka-cokka,10.994,0.5,0.2,2.3,4,100
sayur daun kelor,7.887,1.2,0.1,1.1,8,100
sayur daun singkong,61.901,1.9,5.1,3.7,6,100
sayur gambas,30.114,0.1,0.2,7.7,0,100
sayur gulai daging,293.97,17.6,23.3,3.4,39,100
sayur jantung pisang belu,10.994,0.6,0.4,2.5,3,100
sayur kangkung,10.994,1.6,0.1,1.5,11,100
sayur katuk,11.95,1.7,0.2,1.7,12,100
sayur labu,14.101,0.5,0.5,2.3,1,100
sayur lodeh,55.926,1.9,3.4,6,5,100
sayur nangka belu,65.964,1.3,3.5,8.7,4,100
sayur sop,103.965,1.8,7,10.5,28,100
sayur sop daging cincang wortel,65.964,6.5,1.7,5.8,22,100
sayur sop macaroni,126.909,6.5,7,10.5,16,100
sayur soun,97.034,4,6.4,7.2,3,100
selada air mentah,37.045,3.7,0.2,7.3,11,100
selada mentah,12.906,1,0.2,2.1,9,100
seledri,12.906,1,0.2,2.1,9,100
semur kentang,118.066,8.9,2.3,15.4,26,100
sup a,299.945,10,0.5,0.5,0,100
sup b,349.896,5,0.4,0.4,0,100
telur ceplok,190.961,12,15.1,1,118,100
telur dadar,186.898,11.5,14.7,1.2,114,100
telur goreng,190.961,12,15.1,1,118,100
telur asin,155.111,12.6,10.6,1.1,124,100
telur ayam,155.111,12.6,10.6,1.1,124,100
telur ayam bagian kuning,277.957,19.2,20.7,2.3,219,100
telur burung sawah,184.986,12.8,13.8,1.5,146,100
telur ayam bagian putih,49.951,10.5,0,1,164,100
telur itik dadar,271.026,12.8,23.8,1.5,146,100
telur itik bagian putih,49.951,10.5,0,1,164,100
telur ikan,162.998,19.8,8.4,0.8,108,100
telur itik / bebek mentah,184.986,12.8,13.8,1.5,146,100
telur itik bagian kuning,563.084,25.7,49.5,3,352,100
telur puyuh,184.986,12.8,13.8,1.5,146,100
telur penyu,155.111,12.6,10.6,1.1,124,100
telur merpati,184.986,12.8,13.8,1.5,146,100
telur menthok,184.986,12.8,13.8,1.5,146,100
telur orak arik,169.929,10.4,13.3,2.4,92,100
tepung susu,463.899,21.6,19,51.6,320,100
tepung susu neslac 2,463.899,21.6,19,51.6,320,100
tepung susu sgm 2,463.899,21.6,19,51.6,320,100
tepung susu skim,368.06,35.7,2.1,51.5,546,100
tepung susu lactona 2,463.899,21.6,19,51.6,320,100
tepung susu asam,504.051,25.6,28.6,37.6,399,100
minuman susu ultra / ultra milk,65.964,3.2,3.9,4.8,55,100
sayur telur,151.048,11.1,10.5,2.7,107,100
susu kambing,69.071,3.6,4.1,4.5,50,100
susu kental manis,320.021,7.8,8.7,54.5,122,100
susu sapi,65.964,3.2,3.9,4.8,55,100
susu segar,65.964,3.2,3.9,4.8,55,100
susu skim / tak berlemak cair,34.894,3.4,0.2,4.9,52,100
abon,315.002,55.1,8.9,0,118,100
ampal,273.894,18.2,21.5,2,55,100
ati ayam,157.023,24.4,5.5,0.9,51,100
ayam,284.888,26.9,18.9,0,73,100
babat,82.933,14.5,2.4,0,31,100
bakso bihun,369.972,23.5,29.9,0.1,55,100
bakso pentol,369.972,23.5,29.9,0.1,55,100
usus menthok,93.927,14.1,3.8,0,30,100
uthi-uthi mentah,273.894,18.2,21.5,2,55,100
usus ayam,93.927,14.1,3.8,0,30,100
usus itik,93.927,14.1,3.8,0,30,100
buras,284.888,26.9,18.9,0,73,100
buras daging kentang,494.969,1,50,10.8,3,100
corned beef,268.875,24.9,18,0,1215,100
daging ayam,284.888,26.9,18.9,0,73,100
daging ayam bagian kaki,201.955,11.4,17,0,35,100
daging ayam bagian kepala,147.941,14,9.8,0,38,100
daging ayam bagian paha,213.905,20.2,14.2,0,55,100
daging ayam bagian sayap,147.941,14,9.8,0,38,100
daging biawak mentah,130.972,26.8,1.8,0,56,100
daging blekok / kuntul,336.99,19,28.4,0,59,100
daging burung bagian kepala,147.941,14,9.8,0,38,100
daging burung mentah,336.99,19,28.4,0,59,100
daging domba,268.875,24.9,18,0,53,100
daging itik bagian kepala,174.948,9.9,14.8,0,31,100
daging itik bagian paha,253.101,14.3,21.3,0,44,100
daging itik bagian sayap,174.948,9.9,14.8,0,31,100
daging itik/bebek,336.99,19,28.4,0,59,100
daging kambing,268.875,24.9,18,0,53,100
daging kelelawar,268.875,24.9,18,0,53,100
daging kerbau,130.972,26.8,1.8,0,56,100
daging menthok,336.99,19,28.4,0,59,100
daging menthok bagian kaki,336.99,19,28.4,0,59,100
daging menthok bagian kepala,174.948,9.9,14.8,0,31,100
daging menthok bagian sayap,174.948,9.9,14.8,0,31,100
daging merpati,207.93,28.1,9.7,0,68,100
daging puyuh,207.93,28.1,9.7,0,68,100
daging sapi,268.875,24.9,18,0,53,100
daging tupai,166.105,29,4.7,0,62,100
dendeng sapi,1076.934,103.3,70.7,0,220,100
dideh ayam,145.073,25.1,4.2,0,57,100
dideh itik,115.915,20.1,3.4,0,46,100
dideh kambing,115.915,20.1,3.4,0,46,100
dideh kerbau,115.915,20.1,3.4,0,46,100
dideh sapi,145.073,25.1,4.2,0,57,100
hati ayam,157.023,24.4,5.5,0.9,51,100
hati biawak,161.086,24.4,4.9,3.4,70,100
hati burung,157.023,24.4,5.5,0.9,51,100
hati itik,157.023,24.4,5.5,0.9,51,100
hati itik bacem,157.023,24.4,5.5,0.9,51,100
hati kerbau,161.086,24.4,4.9,3.4,70,100
hati menthok,157.023,24.4,5.5,0.9,51,100
hati merpati,157.023,24.4,5.5,0.9,51,100
hati sapi,161.086,24.4,4.9,3.4,70,100
iso sapi mentah usus,93.927,14.1,3.8,0,30,100
jangkrik,273.894,18.2,21.5,2,55,100
jantung ayam mentah,166.105,29,4.7,0,62,100
jantung itik,166.105,29,4.7,0,62,100
jantung menthok,166.105,29,4.7,0,62,100
